Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-10/06/2017
Datum: 10/06/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B24F0005,001,24FP0001,99680,493440,643,,690,-490,-590,1956/01/17,2015/09/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B24F0005,001,1971/11/15 00:00:00,394,
B24F0005,001,1971/11/29 00:00:00,406,
B24F0005,001,1971/12/13 00:00:00,404,
B24F0005,001,1972/01/14 00:00:00,404,
B24F0005,001,1972/01/31 00:00:00,401,
B24F0005,001,1972/02/14 00:00:00,412,
B24F0005,001,1972/02/28 00:00:00,412,
B24F0005,001,1972/03/14 00:00:00,414,
B24F0005,001,1972/03/27 00:00:00,423,
B24F0005,001,1972/04/14 00:00:00,420,
B24F0005,001,1972/04/24 00:00:00,421,
B24F0005,001,1972/05/15 00:00:00,424,
B24F0005,001,1972/05/29 00:00:00,425,
B24F0005,001,1972/06/14 00:00:00,429,
B24F0005,001,1972/06/28 00:00:00,429,
B24F0005,001,1972/07/14 00:00:00,428,
B24F0005,001,1972/07/28 00:00:00,424,
B24F0005,001,1972/08/14 00:00:00,434,
B24F0005,001,1972/08/29 00:00:00,436,
B24F0005,001,1972/09/15 00:00:00,437,
B24F0005,001,1972/09/28 00:00:00,439,
B24F0005,001,1972/10/10 00:00:00,435,
B24F0005,001,1972/10/27 00:00:00,438,
B24F0005,001,1972/11/15 00:00:00,447,
B24F0005,001,1972/11/28 00:00:00,446,
B24F0005,001,1972/12/18 00:00:00,453,
B24F0005,001,1972/12/29 00:00:00,455,
B24F0005,001,1973/01/15 00:00:00,456,
B24F0005,001,1973/01/29 00:00:00,456,
B24F0005,001,1973/02/14 00:00:00,458,
B24F0005,001,1973/03/02 00:00:00,459,
B24F0005,001,1973/03/14 00:00:00,442,
B24F0005,001,1973/03/29 00:00:00,454,
B24F0005,001,1973/04/13 00:00:00,455,
B24F0005,001,1973/05/07 00:00:00,457,
B24F0005,001,1973/05/14 00:00:00,461,
B24F0005,001,1973/05/28 00:00:00,462,
B24F0005,001,1973/06/18 00:00:00,466,
B24F0005,001,1973/06/29 00:00:00,465,
B24F0005,001,1973/07/16 00:00:00,467,
B24F0005,001,1973/07/27 00:00:00,468,
B24F0005,001,1973/08/15 00:00:00,470,
B24F0005,001,1973/08/27 00:00:00,472,
B24F0005,001,1973/09/14 00:00:00,473,
B24F0005,001,1973/09/28 00:00:00,476,
B24F0005,001,1973/10/08 00:00:00,478,
B24F0005,001,1973/10/24 00:00:00,475,
B24F0005,001,1973/11/16 00:00:00,455,
B24F0005,001,1973/11/26 00:00:00,458,
B24F0005,001,1973/12/10 00:00:00,447,
B24F0005,001,1973/12/28 00:00:00,446,
B24F0005,001,1974/01/14 00:00:00,437,
B24F0005,001,1974/01/29 00:00:00,432,
B24F0005,001,1974/02/13 00:00:00,433,
B24F0005,001,1974/03/01 00:00:00,436,
B24F0005,001,1974/03/15 00:00:00,431,
B24F0005,001,1974/03/28 00:00:00,428,
B24F0005,001,1974/04/22 00:00:00,426,
B24F0005,001,1974/05/14 00:00:00,427,
B24F0005,001,1974/05/28 00:00:00,430,
B24F0005,001,1974/06/28 00:00:00,442,
B24F0005,001,1974/07/15 00:00:00,447,
B24F0005,001,1974/07/29 00:00:00,450,
B24F0005,001,1974/08/14 00:00:00,454,
B24F0005,001,1974/08/28 00:00:00,457,
B24F0005,001,1974/09/13 00:00:00,458,
B24F0005,001,1974/10/14 00:00:00,458,
B24F0005,001,1974/10/28 00:00:00,432,
B24F0005,001,1974/11/14 00:00:00,416,
B24F0005,001,1974/11/28 00:00:00,406,
B24F0005,001,1974/12/09 00:00:00,401,
B24F0005,001,1974/12/30 00:00:00,392,
B24F0005,001,1975/01/14 00:00:00,377,
B24F0005,001,1975/01/28 00:00:00,372,
B24F0005,001,1975/02/14 00:00:00,364,
B24F0005,001,1975/02/28 00:00:00,358,
B24F0005,001,1975/03/14 00:00:00,357,
B24F0005,001,1975/03/27 00:00:00,357,
B24F0005,001,1975/04/21 00:00:00,355,
B24F0005,001,1975/05/14 00:00:00,350,
B24F0005,001,1975/05/28 00:00:00,351,
B24F0005,001,1975/06/13 00:00:00,356,
B24F0005,001,1975/06/27 00:00:00,365,
B24F0005,001,1975/07/14 00:00:00,372,
B24F0005,001,1975/07/28 00:00:00,374,
B24F0005,001,1975/08/25 00:00:00,383,
B24F0005,001,1975/09/15 00:00:00,388,
B24F0005,001,1975/09/29 00:00:00,392,
B24F0005,001,1975/10/13 00:00:00,392,
B24F0005,001,1975/10/28 00:00:00,395,
B24F0005,001,1975/11/14 00:00:00,404,
B24F0005,001,1975/12/01 00:00:00,405,
B24F0005,001,1975/12/15 00:00:00,387,
B24F0005,001,1975/12/29 00:00:00,380,
B24F0005,001,1976/01/14 00:00:00,380,
B24F0005,001,1976/01/28 00:00:00,376,
B24F0005,001,1976/02/13 00:00:00,381,
B24F0005,001,1976/02/27 00:00:00,374,
B24F0005,001,1976/03/15 00:00:00,373,
B24F0005,001,1976/03/29 00:00:00,374,
B24F0005,001,1976/04/15 00:00:00,381,
B24F0005,001,1976/04/28 00:00:00,386,
B24F0005,001,1976/05/17 00:00:00,391,
B24F0005,001,1976/05/28 00:00:00,391,
B24F0005,001,1976/06/16 00:00:00,401,
B24F0005,001,1976/06/28 00:00:00,400,
B24F0005,001,1976/07/14 00:00:00,403,
B24F0005,001,1976/07/28 00:00:00,406,
B24F0005,001,1976/08/14 00:00:00,410,
B24F0005,001,1976/08/28 00:00:00,413,
B24F0005,001,1976/09/14 00:00:00,418,
B24F0005,001,1976/09/28 00:00:00,421,
B24F0005,001,1976/10/11 00:00:00,423,
B24F0005,001,1976/10/29 00:00:00,427,
B24F0005,001,1976/11/15 00:00:00,429,
B24F0005,001,1976/11/29 00:00:00,430,
B24F0005,001,1976/12/13 00:00:00,429,
B24F0005,001,1976/12/27 00:00:00,416,
B24F0005,001,1977/01/14 00:00:00,406,
B24F0005,001,1977/01/28 00:00:00,400,
B24F0005,001,1977/02/14 00:00:00,394,
B24F0005,001,1977/02/28 00:00:00,387,
B24F0005,001,1977/03/29 00:00:00,379,
B24F0005,001,1977/04/14 00:00:00,373,
B24F0005,001,1977/04/25 00:00:00,376,
B24F0005,001,1977/05/13 00:00:00,374,
B24F0005,001,1977/05/27 00:00:00,374,
B24F0005,001,1977/06/15 00:00:00,379,
B24F0005,001,1977/06/28 00:00:00,383,
B24F0005,001,1977/07/15 00:00:00,391,
B24F0005,001,1977/07/28 00:00:00,393,
B24F0005,001,1977/08/15 00:00:00,396,
B24F0005,001,1977/08/29 00:00:00,401,
B24F0005,001,1977/09/15 00:00:00,403,
B24F0005,001,1977/09/28 00:00:00,407,
B24F0005,001,1977/10/10 00:00:00,411,
B24F0005,001,1977/10/31 00:00:00,414,
B24F0005,001,1977/11/14 00:00:00,416,
B24F0005,001,1977/11/28 00:00:00,401,
B24F0005,001,1977/12/05 00:00:00,389,
B24F0005,001,1977/12/29 00:00:00,381,
B24F0005,001,1978/01/16 00:00:00,380,
B24F0005,001,1978/01/27 00:00:00,378,
B24F0005,001,1978/02/14 00:00:00,376,
B24F0005,001,1978/02/28 00:00:00,375,
B24F0005,001,1978/03/14 00:00:00,373,
B24F0005,001,1978/03/28 00:00:00,374,
B24F0005,001,1978/04/14 00:00:00,373,
B24F0005,001,1978/04/24 00:00:00,374,
B24F0005,001,1978/05/16 00:00:00,371,
B24F0005,001,1978/06/14 00:00:00,376,
B24F0005,001,1978/06/28 00:00:00,368,
B24F0005,001,1978/07/14 00:00:00,375,
B24F0005,001,1978/07/28 00:00:00,386,
B24F0005,001,1978/08/28 00:00:00,390,
B24F0005,001,1978/09/14 00:00:00,392,
B24F0005,001,1978/09/28 00:00:00,397,
B24F0005,001,1978/10/09 00:00:00,398,
B24F0005,001,1978/10/27 00:00:00,403,
B24F0005,001,1978/11/15 00:00:00,403,
B24F0005,001,1978/11/28 00:00:00,410,
B24F0005,001,1978/12/11 00:00:00,410,
B24F0005,001,1978/12/28 00:00:00,410,
B24F0005,001,1979/01/15 00:00:00,395,
B24F0005,001,1979/01/29 00:00:00,389,
B24F0005,001,1979/02/28 00:00:00,378,
B24F0005,001,1979/04/12 00:00:00,358,
B24F0005,001,1979/04/24 00:00:00,356,
B24F0005,001,1979/06/15 00:00:00,340,
B24F0005,001,1979/06/28 00:00:00,343,
B24F0005,001,1979/07/13 00:00:00,348,
B24F0005,001,1979/07/27 00:00:00,336,
B24F0005,001,1979/08/14 00:00:00,345,
B24F0005,001,1979/08/28 00:00:00,353,
B24F0005,001,1979/09/14 00:00:00,353,
B24F0005,001,1979/09/28 00:00:00,354,
B24F0005,001,1979/10/15 00:00:00,360,
B24F0005,001,1979/10/29 00:00:00,365,
B24F0005,001,1979/11/14 00:00:00,363,
B24F0005,001,1979/11/28 00:00:00,346,
B24F0005,001,1979/12/14 00:00:00,341,
B24F0005,001,1980/01/14 00:00:00,310,
B24F0005,001,1980/01/28 00:00:00,302,
B24F0005,001,1980/02/15 00:00:00,298,
B24F0005,001,1980/02/27 00:00:00,296,
B24F0005,001,1980/03/14 00:00:00,298,
B24F0005,001,1980/03/28 00:00:00,295,
B24F0005,001,1980/04/14 00:00:00,295,
B24F0005,001,1980/04/28 00:00:00,293,
B24F0005,001,1980/05/14 00:00:00,296,
B24F0005,001,1980/05/28 00:00:00,303,
B24F0005,001,1980/08/28 00:00:00,323,
B24F0005,001,1980/09/15 00:00:00,328,
B24F0005,001,1980/09/29 00:00:00,333,
B24F0005,001,1980/10/13 00:00:00,337,
B24F0005,001,1980/10/28 00:00:00,341,
B24F0005,001,1980/11/28 00:00:00,349,
B24F0005,001,1980/12/08 00:00:00,349,
B24F0005,001,1980/12/29 00:00:00,334,
B24F0005,001,1981/01/14 00:00:00,327,
B24F0005,001,1981/01/28 00:00:00,319,
B24F0005,001,1981/02/13 00:00:00,319,
B24F0005,001,1981/02/27 00:00:00,317,
B24F0005,001,1981/03/13 00:00:00,315,
B24F0005,001,1981/03/27 00:00:00,292,
B24F0005,001,1981/04/14 00:00:00,290,
B24F0005,001,1981/04/23 00:00:00,291,
B24F0005,001,1981/05/14 00:00:00,294,
B24F0005,001,1981/06/15 00:00:00,312,
B24F0005,001,1981/06/29 00:00:00,316,
B24F0005,001,1981/07/14 00:00:00,321,
B24F0005,001,1981/07/28 00:00:00,324,
B24F0005,001,1981/08/14 00:00:00,328,
B24F0005,001,1981/08/25 00:00:00,332,
B24F0005,001,1981/09/14 00:00:00,338,
B24F0005,001,1981/09/28 00:00:00,333,
B24F0005,001,1981/10/14 00:00:00,325,
B24F0005,001,1981/10/28 00:00:00,311,
B24F0005,001,1981/11/13 00:00:00,298,
B24F0005,001,1981/11/27 00:00:00,296,
B24F0005,001,1981/12/14 00:00:00,291,
B24F0005,001,1981/12/28 00:00:00,283,
B24F0005,001,1982/01/28 00:00:00,280,
B24F0005,001,1982/02/15 00:00:00,281,
B24F0005,001,1982/03/01 00:00:00,281,
B24F0005,001,1982/03/15 00:00:00,282,
B24F0005,001,1982/03/29 00:00:00,286,
B24F0005,001,1982/04/14 00:00:00,289,
B24F0005,001,1982/04/26 00:00:00,295,
B24F0005,001,1982/05/14 00:00:00,298,
B24F0005,001,1982/05/28 00:00:00,303,
B24F0005,001,1982/06/14 00:00:00,307,
B24F0005,001,1982/07/14 00:00:00,318,
B24F0005,001,1982/07/28 00:00:00,322,
B24F0005,001,1982/08/13 00:00:00,329,
B24F0005,001,1982/08/23 00:00:00,331,
B24F0005,001,1982/09/14 00:00:00,337,
B24F0005,001,1982/09/28 00:00:00,342,
B24F0005,001,1982/10/11 00:00:00,345,
B24F0005,001,1982/10/28 00:00:00,321,
B24F0005,001,1982/11/15 00:00:00,318,
B24F0005,001,1982/11/29 00:00:00,318,
B24F0005,001,1982/12/13 00:00:00,315,
B24F0005,001,1982/12/28 00:00:00,311,
B24F0005,001,1983/01/28 00:00:00,297,
B24F0005,001,1983/02/14 00:00:00,297,
B24F0005,001,1983/02/28 00:00:00,290,
B24F0005,001,1983/03/14 00:00:00,292,
B24F0005,001,1983/03/28 00:00:00,298,
B24F0005,001,1983/04/25 00:00:00,283,
B24F0005,001,1983/05/13 00:00:00,274,
B24F0005,001,1983/05/27 00:00:00,263,
B24F0005,001,1983/06/14 00:00:00,261,
B24F0005,001,1983/06/28 00:00:00,264,
B24F0005,001,1983/07/14 00:00:00,276,
B24F0005,001,1983/07/28 00:00:00,286,
B24F0005,001,1983/08/15 00:00:00,291,
B24F0005,001,1983/09/28 00:00:00,283,
B24F0005,001,1983/10/12 00:00:00,285,
B24F0005,001,1983/10/28 00:00:00,290,
B24F0005,001,1983/11/14 00:00:00,299,
B24F0005,001,1983/11/28 00:00:00,301,
B24F0005,001,1983/12/13 00:00:00,280,
B24F0005,001,1983/12/28 00:00:00,282,
B24F0005,001,1984/01/16 00:00:00,276,
